pattern,category,precedence,valid_from,valid_to
%bunnings%,HOUSING,1,2024-01-01,2999-12-31
%WOOLWORTHS%,SUPERMARKET,1,2024-01-01,2999-12-31
%WOOLWORTHS      3762 MELBOURNE%,FOOD,2,2024-01-01,2999-12-31
%SUPERCHEAP AUTO%,CAR,1,2024-01-01,2999-12-31
%PETSTOCK%,PET,1,2024-01-01,2999-12-31
